t,y,x,id,parent_id,seg_id
0,181.8763358778626,464.0213740458015,0_1,,1
0,25.761764705882353,170.0235294117647,0_10,,10
0,16.762666666666668,191.72266666666667,0_12,,12
0,44.601680672268905,248.54621848739495,0_16,,16
0,20.889033942558747,682.6044386422976,0_22,,22
0,145.30327868852459,359.1377049180328,0_25,,25
0,169.9262048192771,409.08584337349396,0_30,,30
0,159.6816,510.224,0_41,,41
0,278.7842003853564,245.82851637764932,0_50,,50
0,300.76694214876034,278.4396694214876,0_51,,51
0,307.8564705882353,327.2705882352941,0_55,,55
0,295.08352668213456,357.8631090487239,0_63,,63
0,198.9643435980551,808.1004862236629,0_76,,76
0,218.9816513761468,835.2293577981651,0_86,,86
0,182.94509803921568,953.6176470588235,0_94,,94
0,218.37423312883436,958.758691206544,0_98,,98
0,233.1946902654867,917.2367256637168,0_102,,102
0,244.1855421686747,939.2048192771084,0_112,,112
0,462.766975308642,75.9645061728395,0_125,,125
0,468.08828250401285,120.30337078651685,0_133,,133
0,513.8360957642726,51.81031307550644,0_137,,137
0,524.8147100424328,115.28147100424329,0_141,,141
0,568.6830769230769,165.68153846153845,0_151,,151
0,597.8484320557492,194.02439024390245,0_161,,161
0,581.1867469879518,45.1285140562249,0_169,,169
0,483.5487804878049,222.92926829268293,0_177,,177
0,499.35795454545456,184.45170454545453,0_186,,186
0,503.68794326241135,19.07565011820331,0_189,,189
0,437.68530020703935,363.7722567287785,0_197,,197
0,461.87905604719765,351.6873156342183,0_200,,200
0,449.747311827957,489.07706093189967,0_204,,204
0,437.80669144981414,524.7918215613383,0_225,,225
0,554.5203007518797,932.1699248120301,0_257,,257
0,554.3038397328882,969.5609348914858,0_270,,270
0,396.32764505119457,1022.1177474402731,0_284,,284
0,409.3764705882353,1043.2789915966387,0_288,,288
0,347.2879177377892,778.719794344473,0_305,,305
0,372.66243654822335,758.269035532995,0_315,,315
0,640.2743628185907,381.98200899550227,0_326,,326
0,675.4245973645681,391.9106881405564,0_333,,333
0,676.612426035503,277.4822485207101,0_353,,353
0,506.0536398467433,875.8773946360153,0_363,,363
0,498.3271375464684,902.4237918215614,0_366,,366
1,181.4131736526946,465.8637724550898,1_1,0_1,1
1,22.528645833333332,169.8671875,1_10,0_10,10
1,19.37639198218263,191.7772828507795,1_12,0_12,12
1,46.60650406504065,249.29268292682926,1_16,0_16,16
1,21.465879265091864,683.6128608923884,1_22,0_22,22
1,147.7239165329053,358.9325842696629,1_25,0_25,25
1,172.8793565683646,402.44235924932974,1_30,0_30,30
1,159.02403846153845,511.1826923076923,1_41,0_41,41
1,277.6512027491409,243.80756013745705,1_50,0_50,50
1,299.8792270531401,278.42995169082127,1_51,0_51,51
1,307.15098468271333,327.5382932166302,1_55,0_55,55
1,297.726872246696,357.7819383259912,1_63,0_63,63
1,198.7487922705314,808.3768115942029,1_76,0_76,76
1,218.56679389312978,835.7080152671756,1_86,0_86,86
1,183.86501901140684,952.9410646387832,1_94,0_94,94
1,218.99025341130604,959.3762183235867,1_98,0_98,98
1,233.61747572815534,919.9320388349514,1_102,0_102,102
1,248.11374407582937,939.4170616113744,1_112,0_112,112
1,461.7542087542088,78.26262626262626,1_125,0_125,125
1,467.21753246753246,117.55844155844156,1_133,0_133,133
1,511.8568872987478,55.07155635062612,1_137,0_137,137
1,526.0848214285714,116.3125,1_141,0_141,141
1,570.6310240963855,165.99096385542168,1_151,0_151,151
1,600.2743682310469,193.49458483754512,1_161,0_161,161
1,581.6413043478261,46.29710144927536,1_169,0_169,169
1,486.4778554778555,225.43123543123542,1_177,0_177,177
1,501.43555555555554,183.39333333333335,1_186,0_186,186
1,500.8021505376344,20.89462365591398,1_189,0_189,189
1,436.56470588235294,367.1470588235294,1_197,0_197,197
1,462.87105263157895,353.2289473684211,1_200,0_200,200
1,451.4982638888889,490.5763888888889,1_204,0_204,204
1,438.4593128390597,525.4484629294756,1_225,0_225,225
1,552.7759643916914,936.1112759643917,1_257,0_257,257
1,556.6916376306621,968.0540069686411,1_270,0_270,270
1,395.97512437810946,1023.8805970149253,1_284,0_284,284
1,412.1008130081301,1041.3333333333333,1_288,0_288,288
1,348.2881773399015,779.5960591133005,1_305,0_305,305
1,374.09045226130655,758.7738693467337,1_315,0_315,315
1,641.5676056338028,382.04788732394366,1_326,0_326,326
1,676.2609929078014,391.4283687943262,1_333,0_333,333
1,677.7794117647059,279.2,1_353,0_353,353
1,507.0921052631579,877.483552631579,1_363,0_363,363
1,496.89230769230767,902.2346153846154,1_366,0_366,366
2,178.5811965811966,467.5042735042735,2_1,1_1,1
2,21.316831683168317,170.6881188118812,2_10,1_10,10
2,19.009174311926607,192.0481651376147,2_12,1_12,12
2,47.764802631578945,250.48519736842104,2_16,1_16,16
2,147.21226415094338,358.95754716981133,2_25,1_25,25
2,151.09846153846155,424.6307692307692,2_32,,32
2,182.09509202453987,401.7914110429448,2_33,1_30,33
2,156.5981308411215,511.5202492211838,2_41,1_41,41
2,279.6070853462158,248.58615136876006,2_50,1_50,50
2,298.05409582689333,279.8021638330757,2_51,1_51,51
2,304.7860262008734,327.4017467248908,2_55,1_55,55
2,298.85393258426967,356.90337078651686,2_63,1_63,63
2,198.4156626506024,811.0135542168674,2_76,1_76,76
2,218.1570093457944,837.9028037383177,2_86,1_86,86
2,182.865275142315,953.2087286527515,2_94,1_94,94
2,217.57782101167317,960.0252918287938,2_98,1_98,98
2,231.63789868667916,922.5984990619137,2_102,1_102,102
2,248.81087470449174,940.1229314420804,2_112,1_112,112
2,458.73243647234676,80.05381165919283,2_125,1_125,125
2,464.60099337748346,117.9751655629139,2_133,1_133,133
2,509.3913764510779,57.4212271973466,2_137,1_137,137
2,528.0994897959183,120.34693877551021,2_141,1_141,141
2,569.3587786259542,163.28396946564885,2_151,1_151,151
2,596.108202443281,194.58813263525306,2_161,1_161,161
2,578.65625,48.0422794117647,2_169,1_169,169
2,485.36742424242425,225.70454545454547,2_177,1_177,177
